Average_goals_scored_last10,Average_HT_goals_scored_last10,Average_shots_last10,Average_shots_on_target_last10,Average_fouls_last10,Average_corners_last10,Average_yellow_cards_last10,Average_red_cards_last10,Average_goals_conceded_last10,Average_HT_goals_conceded_last10,Average_shots_conceded_last10,Average_shots_on_target_conceded_last10,Average_fouls_conceded_last10,Average_corners_conceded_last10,Average_yellow_cards_conceded_last10,Average_red_cards_conceded_last10,Average_B365Odds_last10,Average_B365Odds_Against_last10,Average_B365DrawOdds_last10,Average_BWOdds_last10,Average_BWOdds_against_last10,Average_BWDrawOdds_last10,Average_WHOdds_last10,Average_WHOdds_Against_last10
0.9,0.4,8.1,2.7,11.5,4.3,3.5,0.2,8.168000000000001,5.525,8.285,5.765000000000001,8.7,5.425,2.2,1.1,20.0,6.7,14.1,8.3,1.6,0.0,1.6780000000000002,1.6789999999999998
2.4,1.2,17.1,6.6,13.3,7.3,3.1,0.0,2.1710000000000003,4.203,2.1759999999999997,4.26,2.1719999999999997,4.283,1.3,0.7,10.8,4.3,12.3,3.3,2.8,0.2,4.457,4.3340000000000005
1.4,0.8,17.3,5.6,8.8,8.7,2.1,0.1,1.6300000000000001,5.302999999999999,1.634,5.446,1.653,5.145999999999999,1.6,0.7,10.3,4.2,10.1,3.1,2.5,0.0,7.195,7.468000000000001
1.7,0.8,13.5,4.8,12.1,4.4,2.1,0.1,3.271,4.16,3.2409999999999997,4.1979999999999995,3.3129999999999997,4.15,1.8,0.8,13.9,4.9,10.7,6.7,2.3,0.0,3.026,3.0789999999999997
1.3,0.4,13.7,4.1,9.4,5.1,1.9,0.1,4.338,3.8600000000000003,4.172,3.925,4.314,3.8599999999999994,1.4,0.5,14.8,5.0,11.3,6.7,2.9,0.1,2.572,2.5669999999999997
1.8,0.6,10.6,4.3,11.7,2.5,2.2,0.0,4.361,4.1899999999999995,4.465,4.088,4.505,4.095,2.4,1.3,15.2,5.7,10.2,8.7,2.6,0.0,2.0980000000000003,2.096
1.2,0.5,13.5,3.7,10.9,6.3,2.2,0.0,3.035,3.886,3.008,3.8379999999999996,3.014,3.853,1.5,0.7,12.8,4.7,12.2,4.7,2.9,0.0,2.8310000000000004,2.821
2.2,1.0,15.4,6.8,11.5,6.0,2.3,0.0,1.659,4.745,1.674,4.82,1.668,4.733,1.0,0.5,11.4,3.9,12.3,4.9,2.7,0.0,6.3,6.04
2.1,1.0,16.4,5.4,12.0,8.1,1.8,0.1,1.6829999999999998,4.938,1.6770000000000003,5.025,1.684,4.79,1.2,0.5,8.7,2.9,9.8,2.2,3.1,0.0,7.435,7.255
1.3,0.6,15.3,5.9,10.5,5.6,2.5,0.2,3.7660000000000005,3.925,3.732,3.915,3.8129999999999997,3.915,2.1,1.2,14.8,4.7,8.3,7.3,1.4,0.0,2.368,2.3600000000000003
2.2,0.8,15.5,5.8,10.2,7.7,2.0,0.0,2.314,4.475,2.262,4.513,2.2969999999999997,4.485,1.1,0.7,13.1,4.5,15.1,5.7,2.7,0.3,4.071,4.264
1.4,0.4,9.7,3.3,10.4,3.8,2.7,0.0,5.029999999999999,4.33,5.015,4.265,5.208,4.19,2.1,1.2,19.0,6.3,10.4,7.2,2.2,0.2,1.9999999999999996,2.0010000000000003
1.1,0.7,11.0,3.6,12.5,5.6,2.5,0.2,4.291,3.9879999999999995,4.295,4.035,4.468,4.015000000000001,1.8,1.0,14.5,5.9,10.7,5.6,1.4,0.0,2.057,2.0669999999999997
1.7,0.7,14.4,5.4,10.6,6.4,2.3,0.2,3.3199999999999994,3.974999999999999,3.4859999999999998,3.9379999999999997,3.5970000000000004,3.8600000000000003,1.5,0.4,11.9,4.0,8.8,4.8,1.2,0.2,2.761,2.726
1.2,0.5,12.8,4.6,11.8,4.3,2.5,0.1,2.5780000000000003,4.09,2.529,4.16,2.5959999999999996,4.118,1.0,0.3,11.5,4.2,9.8,5.3,2.1,0.0,3.7,3.7689999999999997
0.8,0.4,14.3,5.2,10.8,5.2,2.7,0.1,3.4739999999999993,3.6949999999999994,3.4349999999999996,3.665,3.556,3.655,1.1,0.3,12.5,4.1,11.4,7.2,2.1,0.0,2.26,2.302
2.1,1.4,10.9,4.9,8.4,5.1,1.3,0.1,3.0759999999999996,3.8680000000000008,3.061,3.9050000000000002,3.09,3.8899999999999997,2.0,1.1,18.8,6.8,10.4,7.2,2.1,0.1,2.8299999999999996,2.8310000000000004
1.5,0.8,13.0,4.3,11.6,6.9,2.5,0.1,2.829,4.0200000000000005,2.808,4.05,2.8960000000000004,4.03,1.7,0.8,12.5,4.6,13.1,4.8,3.2,0.1,3.336,3.2969999999999997
1.5,0.8,15.1,5.0,13.8,6.3,2.9,0.0,3.8,4.06,3.7699999999999996,4.16,3.782,4.122999999999999,1.5,0.7,11.4,4.7,10.3,4.2,3.5,0.2,2.457,2.4459999999999997
1.5,0.7,15.9,5.7,11.4,6.2,2.3,0.2,3.3229999999999995,3.94,3.4959999999999996,3.938,3.617,3.8299999999999996,1.5,0.4,11.7,4.0,9.8,4.4,1.3,0.2,2.7729999999999997,2.716
2.1,1.2,15.0,5.1,11.9,7.0,2.2,0.2,2.059,4.765,2.055,4.875000000000001,2.06,4.619999999999999,1.3,0.5,12.8,4.1,10.0,3.7,3.2,0.0,6.714999999999999,6.529999999999999
1.5,0.6,12.7,4.1,11.5,6.5,2.4,0.1,2.7990000000000004,4.065,2.78,4.1,2.866,4.07,1.8,1.0,12.2,4.7,12.8,4.5,3.4,0.1,3.553,3.502
1.0,0.2,13.1,3.8,10.7,6.1,2.3,0.0,2.835,3.8009999999999997,2.7960000000000003,3.803,2.803,3.803,1.2,0.8,13.5,5.0,12.8,4.8,3.0,0.0,3.008,2.97
0.9,0.4,8.8,3.0,12.0,3.9,3.6,0.2,7.292999999999999,5.2,7.385,5.45,7.795,5.115,2.0,0.9,18.9,6.5,13.9,7.9,2.3,0.0,1.8989999999999998,1.8800000000000001
